"click_id","hs_id","otaCode"
46608643,690197355,"bkng"
46608889,690270369,"bkng"
46609048,690190765,"bkng"
46609081,690207430,"bkng"
46609219,690057604,"last"
46609222,690189357,"sids"
46609255,690122769,"bkng"
46609315,690189357,"sids"
46609369,690189357,"bkng"
46609720,690270369,"bkng"
46609822,690177140,"agda"
46609873,690136967,"bkng"
46609987,690192446,"bkng"
46610092,690197787,"bkng"
46610695,690270369,"bkng"
46610725,690270369,"bkng"
46610728,690270369,"bkng"
46610914,690175226,"last"
46610944,690206463,"init"
46611052,690105666,"bkng"
46611067,690270369,"last"
46611460,690206463,"bkng"
46611481,690942385,"bkng"
46611577,690358772,"bkng"
46611760,690241278,"bkng"
46611778,690206970,"bkng"
46611811,690190892,"htls"
46611817,690110565,"bkng"
46611832,690110565,"bkng"
46611847,690159609,"bkng"
46611853,690241278,"bkng"
46611859,690241278,"bkng"
46611865,690241278,"bkng"
46612036,690232814,"spln"
46612153,690045598,"bkng"
46612321,1002999495,"hawy"
46612417,690358772,"htls"
46612462,1002999495,"hawy"
46612564,690168368,"htls"
46612759,690358772,"bkng"
46612813,690358772,"bkng"
46612852,690195605,"bkng"
46612858,690086749,"last"
46612885,690195605,"bkng"
46612897,690021935,"last"
46612972,690057227,"last"
46613191,690092803,"elvl"
46613203,690189244,"bkng"
46613215,690197787,"bkng"
46613428,690000284,"htls"
46613509,690000444,"bkng"
46613560,690168368,"htls"
46613575,690118543,"agda"
46613824,690196716,"ctrp"
46613839,690189976,"bkng"
46613869,690000444,"amom"
46613950,1000591651,"bkng"
46614103,690027711,"htls"
46614223,690021548,"bkng"
46614379,690198561,"bkng"
46614535,690225631,"last"
46614538,690122769,"htde"
46614580,150078205,"agda"
46614586,690118543,"htls"
46614589,690057227,"htde"
46614595,690196582,"bkng"
46614625,690196582,"bkng"
46614847,690196582,"bkng"
46615027,690175401,"htls"
46615036,690175401,"htls"
46615258,690201441,"amom"
46615264,690189244,"bkng"
46615450,690244399,"bkng"
46615609,690225631,"ctrp"
46615840,690197787,"bkng"
46615975,690000037,"elvl"
46616005,690358772,"bkng"
46616188,1003141766,"hawy"
46616293,690225631,"ctrp"
46616335,690118543,"bkng"
46616725,690170933,"amom"
46616752,690159609,"bkng"
46616755,690157983,"ctrp"
46616767,690159609,"bkng"
46617016,690122769,"htde"
46617085,690191527,"bkng"
46617172,690122769,"bkng"
46617538,690122769,"htde"
46617727,690358772,"htls"
46617808,690358772,"htls"
46617844,690221681,"bkng"
46618219,690122769,"bkng"
46618957,690319689,"agda"
46618984,690358772,"bkng"
46619065,690181376,"amom"
46619131,690178573,"htls"
46619479,1000591651,"bkng"
46619593,690166782,"expd"
46619704,690157983,"ctrp"
46619722,690191916,"bkng"
46619734,690358772,"htls"
46619797,690223287,"expd"
46619959,690000444,"htls"
46620070,690232328,"gtrm"
46620103,690214118,"hawy"
46620307,690358259,"bkng"
46620988,690198561,"bkng"
46621156,690187471,"bkng"
46621216,690206463,"bkng"
46621264,690000357,"htls"
46621306,690225631,"gtrm"
46621510,690106855,"htls"
46621531,690358772,"htls"
46621861,690201863,"htde"
46622047,690118543,"elvl"
46622062,690118543,"elvl"
46622110,690118543,"expd"
46622512,690085971,"last"
46622578,690122769,"htde"
46622626,690118543,"last"
46622698,690198600,"bkng"
46622791,690113979,"ctrp"
46622890,690122769,"bkng"
46622908,690122769,"bkng"
46622971,690319689,"otel"
46623637,690191233,"amom"
46623709,690191736,"init"
46623820,690191855,"last"
46623853,690191855,"last"
46623943,690196582,"bkng"
46623952,690206463,"init"
46623973,690206463,"init"
46624072,690206463,"init"
46624180,690187215,"amom"
46624486,690206463,"last"
46624753,690181502,"elvl"
46624903,690022624,"bkng"
46624933,690000444,"bkng"
46625053,690121481,"bkng"
46625158,690225631,"amom"
46625251,690411271,"bkng"
46625344,690358772,"bkng"
46625365,690259782,"bkng"
46625380,690118543,"elvl"
46625407,690000012,"last"
46625413,690206463,"bkng"
46625686,690196055,"htls"
46625716,690118543,"htls"
46625746,690206463,"bkng"
46625794,690022624,"bkng"
46625920,690040836,"bkng"
46625929,690206463,"bkng"
46626013,690002778,"bkng"
46626082,690259782,"bkng"
46626100,690206463,"bkng"
46626220,1003141766,"hawy"
46626337,690173720,"bkng"
46626355,690122769,"htde"
46626430,690206463,"init"
46626442,690000270,"bkng"
46626469,690225631,"amom"
46626526,690118543,"expd"
46626613,690118543,"expd"
46626625,690201441,"amom"
46626643,690206463,"init"
46626748,1000492025,"bkng"
46626772,690010108,"bkng"
46626796,690187324,"htls"
46626811,690227507,"bkng"
46626850,690118543,"elvl"
46627111,690110565,"bkng"
46627132,690118543,"expd"
46627171,690199472,"amom"
46627192,690281791,"agda"
46627366,690197787,"bkng"
46627399,690476274,"bkng"
46627417,690198720,"bkng"
46627567,1000492025,"bkng"
46627576,690206463,"bkng"
46627600,1000492025,"bkng"
46627621,690192601,"agda"
46627663,690203477,"amom"
46627738,690118543,"last"
46627783,690358772,"bkng"
46627831,690283752,"amom"
46627855,690113531,"htls"
46627858,1000840250,"bkng"
46627948,690198281,"bkng"
46627957,690959074,"bkng"
46627975,690170607,"htls"
46628026,690192040,"bkng"
46628038,690024024,"htde"
46628293,690170163,"bkng"
46628443,690199059,"bkng"
46628497,690351087,"last"
46628860,690018791,"bkng"
46628929,690191916,"expd"
46628947,690203477,"ctrp"
46628968,1001483579,"bkng"
46628980,690226704,"htls"
46629028,1001287785,"bkng"
46629253,690619205,"bkng"
46629340,690223715,"bkng"
46629697,690197787,"expd"
46629763,690197787,"amom"
46629985,690191806,"htls"
46630006,690191806,"bkng"
46630033,690118543,"elvl"
46630150,690123333,"bkng"
46630180,690228536,"bkng"
46630300,690021548,"bkng"
46630399,690008271,"htls"
46630498,690197787,"bkng"
46630504,690170933,"agda"
46630516,690206463,"bkng"
46630558,690187180,"agda"
46630564,690122769,"htde"
46630585,690028473,"ctrp"
46630660,690192776,"bkng"
46630777,690190335,"htls"
46630798,690191490,"bkng"
46630816,690190335,"htls"
46630840,690228536,"bkng"
46630864,690190335,"htls"
46630906,690190335,"amom"
46630930,690043712,"bkng"
46630993,690223715,"htls"
46631077,691023137,"bkng"
46631104,690000444,"bkng"
46631149,1000840250,"bkng"
46631188,690170933,"agda"
46631308,690197787,"bkng"
46631338,690245930,"bkng"
46631413,690226704,"bkng"
46631710,690176872,"bkng"
46631749,690146657,"ctrp"
46631758,690206463,"last"
46631770,690054276,"htls"
46631821,690189827,"bkng"
46631902,690057227,"bkng"
46631935,690206463,"last"
46631941,690182304,"htls"
46631998,690181376,"bkng"
46632004,690187453,"amom"
46632016,690299470,"bkng"
46632061,1000591651,"bkng"
