id,ota_id,hotel_id,name,address,zip_code,city,country,latitude,longitude
1,4,10618901,"\"\"\"Appartamento del Mare Gliaca\"\" con vista sulle Isole Eolie","",+393391878856,"Via del Sole, 19 piano 3",Gliaca di Piraino,0,38.162820000000000000
2,4,11054160,"\"\"\"Beautiful apartment 130m2","",+34 658 31 61 18,"2 Calle la Marina EDIFICIO PRESIDENTE, Escalera 3, piso 4ºA",Almería,0,36.831200000000000000
3,1,10705268,"\"\"\"Belvedere Residence\"\"","",+48 504 879 674,Sułkowicka 2/4 lokal 66,Varsavia,0,52.205510000000000000
4,1,10496425,"\"\"\"CHEZ HUGO\"\" Tout confort-Parc à 100m-Accès rapide aux télécabine d'Ax",Pêche,FR,Grottes,"Cascades\"","",6.000000000000000000
5,3,10511302,"\"\"\"COSY\"\" Appartement confort de 50m2 à 150m de la Mer et du Centre ville","",+33 6 88 77 05 65,10 Rue des Cerisiers,Canet-en-Roussillon,0,42.698860000000000000
6,1,10436005,"\"\"\"Casa al Mare\"\" Ferien Apartment mit Wohlfühlgarantie!",Strand,ES,Golf,"Wandern\"","",0
7,2,10399785,"\"\"\"Casa20200\"\" 2 Apartments bis 150qm für Business",Gruppen,DE,Handwerker Nahe BERLIN !! 150 qm Apartment for BUSINESS,"FAMILIES near BERLIN!!\"","",0
8,4,10503054,"\"\"\"Chambre Merisier\"\" dans une ferme avec étang privé au coeur de la région des mille étangs","",+33621858469,"Derrière les Hauts Champs, Ferme des Hauts Champs, Route D266",Esmoulières,0,47.819730000000000000
9,4,11451077,"\"\"\"Chez J-P\"\" Bel appartement 2 p classé 3 étoiles situé au calme avec terrasse","",+33750252799,31 Impasse des Maisons Neuves,Gérardmer,0,48.081430000000000000
10,2,10479196,"\"\"\"Chezvero46\"\" residence claire rive avec piscine","",+33671159390,Les Gaulies,Prayssac,0,44.501140000000000000
11,4,11548709,"\"\"\"Château Saint Louis 2\"\" Vue Mer panoramique","",+33 6 65 45 70 69,1 Promenade Reine Astrid,Mortola Superiore,0,43.785080000000000000
12,2,11322158,"\"\"\"Château Saint Louis\"\" Vue Mer panoramique","",+33 6 65 45 70 69,1 Promenade Reine Astrid,Mortola Superiore,0,43.785060000000000000
13,1,10516412,"\"\"\"Chênes et Romarins\"\"",Ombrage,44.15269,"Nature\"","",22.000000000000000000,0
14,4,10826108,"\"\"\"Cultural Athens\"\" Kolonaki","",+306973660500,Παναγιώτου Αναγνωστοπούλου 19,Atenas,0,37.978310000000000000
15,2,10509614,"\"\"\"Côté Soubeyran\"\" Centre-ville",Piscine,43.21792,"Terrasse\"","",13.000000000000000000,0
16,2,10513725,"\"\"\"Côté cour","",+33649529594,1 Impasse Paul Rougnon,Chauvigny,0,46.603790000000000000
17,2,11010273,"\"\"\"DREAM\"\" Magnifique Vue Mer",parking,42.69034,"le rêve\"","",1.000000000000000000,0
18,2,10685870,"\"\"\"Departamento Vacacional Monte Mola\"\" Todo lo que necesitas",SMART TV,"",ALBERCA,CLIMA,0,0
19,1,8593971,"\"\"\"DueEmme Lodge\"\"","",+393349567040,17 Via Grande,Livorno,0,43.552080000000000000
