"id","hs_id","ota_code","property_id"
15519,150005845,"otel","117989"
15450,150005845,"htqk","131543"
15414,150005845,"htlp","153747"
15545,150005845,"sids","1814874"
15241,150005845,"agda","235676"
15343,150005845,"elvl","241164"
15168,150005845,"ebok","2535988"
15632,150005845,"expd","2535988"
15116,150005845,"ean","301619"
15188,150005845,"htls","301619"
15655,150005845,"snap","301619"
15486,150005845,"ltrm","306021"
15312,150005845,"ctrp","3100419"
15225,150005845,"ostr","7382626"
15393,150005845,"hrsd","759618"
15606,150005845,"htde","759618"
15295,150005845,"amom","91156"
15583,150005845,"ecbk","993825"
13337,150043183,"ean","1006034"
13498,150043183,"snap","1006034"
13312,150043183,"bkng","273733"
13347,150043183,"ebok","27516026"
13490,150043183,"expd","27516026"
13396,150043183,"amom","344913"
13354,150043183,"htls","881512832"
53273,150044247,"bkng","1198109"
53657,150044247,"sids","1847028"
53547,150044247,"htlp","305411"
53494,150044247,"elvl","315847"
53611,150044247,"ltrm","337471"
53294,150044247,"ean","403657"
53361,150044247,"htls","403657"
53782,150044247,"snap","403657"
53436,150044247,"agda","467392"
53463,150044247,"amom","485947"
53326,150044247,"ebok","4945468"
53759,150044247,"expd","4945468"
53394,150044247,"ostr","6358355"
53568,150044247,"htqk","699046"
53530,150044247,"hrsd","749459"
53734,150044247,"htde","749459"
53601,150044247,"last","803899"
53711,150044247,"ecbk","941497"
31829,150048823,"htqk","151926"
32080,150048823,"sids","1834363"
32128,150048823,"ecbk","183531"
31380,150048823,"agda","2230592"
31016,150048823,"bkng","2255044"
31636,150048823,"hrsd","260068"
32149,150048823,"htde","260068"
31601,150048823,"gtrm","266eac3c-7184-5141-b242-90ffd6107009"
31484,150048823,"elvl","2760200"
31692,150048823,"htlp","323341"
31065,150048823,"ean","343224"
31227,150048823,"htls","343224"
32318,150048823,"snap","343224"
31159,150048823,"ebok","3509538"
32243,150048823,"expd","3509538"
31774,150048823,"htqk","373117"
31880,150048823,"last","573336"
32104,150048823,"ecbk","575124"
31416,150048823,"amom","74509"
31240,150048823,"ostr","8438220"
49486,150055116,"otel","10e070"
49256,150055116,"htlp","114064"
49306,150055116,"htqk","144700"
48968,150055116,"agda","1922185"
49561,150055116,"sids","215796"
49098,150055116,"elvl","240939"
48795,150055116,"ebok","2410013"
49788,150055116,"expd","2410013"
49464,150055116,"ltrm","306036"
48670,150055116,"ean","330580"
48860,150055116,"htls","330580"
49835,150055116,"snap","330580"
49052,150055116,"amom","33426"
49207,150055116,"hrsd","410353"
49707,150055116,"htde","410353"
48883,150055116,"ostr","7523556"
48663,150055116,"bkng","98730"
49437,150055116,"last","98992"
49674,150055116,"ecbk","994323"
49391,150058672,"last","1012727"
49514,150058672,"otel","12cbcc"
49352,150058672,"htqk","149979"
49033,150058672,"amom","167104"
49586,150058672,"sids","1999016"
48979,150058672,"agda","286985"
49446,150058672,"ltrm","306063"
48770,150058672,"ebok","3297039"
49802,150058672,"expd","3297039"
49117,150058672,"elvl","332269"
48695,150058672,"ean","339784"
48856,150058672,"htls","339784"
49839,150058672,"snap","339784"
49203,150058672,"hrsd","619800"
49723,150058672,"htde","619800"
49183,150058672,"gtrm","634816f4-b047-5d98-aefd-42a04ea446c0"
48920,150058672,"ostr","7790909"
49666,150058672,"ecbk","994337"
46316,150059806,"htlp","141913"
46453,150059806,"ecbk","628361"
46461,150059806,"ecbk","628366"
46217,150059806,"amom","64423"
46278,150059806,"gtrm","77b5f964-a8d3-574c-bdc0-d0b673801733"
46139,150059806,"ostr","8502623"
49034,150067154,"amom","10521"
49523,150067154,"otel","10e0e0"
48773,150067154,"ebok","1339876"
49763,150067154,"expd","1339876"
49596,150067154,"sids","156953"
49314,150067154,"htqk","248381"
49229,150067154,"hrsd","376198"
49699,150067154,"htde","376198"
49447,150067154,"ltrm","399218"
48707,150067154,"ean","525810"
48808,150067154,"htls","525810"
49853,150067154,"snap","525810"
48911,150067154,"ostr","7524102"
49286,150067154,"htlp","90119"
49694,150067154,"ecbk","994350"
23158,150078205,"agda","1220384"
22920,150078205,"ebok","15606948"
23943,150078205,"expd","15606948"
22791,150078205,"bkng","1893845"
23330,150078205,"elvl","2834376"
22799,150078205,"bkng","3444477"
23566,150078205,"htqk","349178"
23676,150078205,"last","3573381"
23716,150078205,"ltrm","466369"
23232,150078205,"amom","466807"
23482,150078205,"htlp","484261"
23852,150078205,"spln","51704"
22838,150078205,"ean","612528"
22996,150078205,"htls","612528"
24059,150078205,"snap","612528"
23073,150078205,"ostr","8448869"
23437,150078205,"hrsd","866476"
23927,150078205,"htde","866476"
35141,150087651,"ean","124693"
35203,150087651,"htls","124693"
35502,150087651,"snap","124693"
35423,150087651,"sids","1273220"
35151,150087651,"ebok","21366"
35475,150087651,"expd","21366"
35394,150087651,"last","245895"
35251,150087651,"agda","3366911"
35331,150087651,"hrsd","4332"
35454,150087651,"htde","4332"
35095,150087651,"bkng","50861"
35367,150087651,"htqk","60190"
35287,150087651,"elvl","62233"
35348,150087651,"htlp","7085"
35237,150087651,"ostr","7572451"
35264,150087651,"amom","92580"
35311,150087651,"gtrm","d72de00c-43dc-5d1d-ac21-60f9704fd8fd"
15485,150124681,"last","1511416"
15431,150124681,"htqk","181040"
15528,150124681,"sids","1815728"
15421,150124681,"htlp","193244"
15270,150124681,"agda","2346991"
15303,150124681,"amom","248893"
15329,150124681,"elvl","2772682"
15201,150124681,"htls","394859"
15160,150124681,"ebok","4692458"
15636,150124681,"expd","4692458"
15211,150124681,"ostr","8453017"
15585,150124681,"ecbk","993127"
18489,150142727,"otel","12c3c3"
18231,150142727,"ebok","15080592"
18596,150142727,"expd","15080592"
18533,150142727,"sids","1822031"
18344,150142727,"elvl","258868"
18418,150142727,"htqk","276409"
18395,150142727,"htlp","306713"
18313,150142727,"amom","358172"
18374,150142727,"hrsd","445416"
18575,150142727,"htde","445416"
18476,150142727,"ltrm","448977"
18451,150142727,"last","456136"
18191,150142727,"ean","590994"
18260,150142727,"htls","590994"
18641,150142727,"snap","590994"
18266,150142727,"ostr","7793683"
18548,150142727,"ecbk","935324"
18558,150142727,"ecbk","935325"
18483,150159654,"otel","10c403"
18326,150159654,"amom","126188"
18427,150159654,"htqk","159646"
18518,150159654,"sids","1846862"
18458,150159654,"last","2625420"
18351,150159654,"elvl","307018"
18480,150159654,"ltrm","335011"
18246,150159654,"htls","356666"
18219,150159654,"ebok","3848217"
18609,150159654,"expd","3848217"
18368,150159654,"hrsd","445613"
18582,150159654,"htde","445613"
18278,150159654,"ostr","7479016"
18185,150159654,"bkng","86950"
18549,150159654,"ecbk","935358"
46245,150184058,"elvl","102978"
46058,150184058,"bkng","1059137"
46095,150184058,"ebok","11081920"
46508,150184058,"expd","11081920"
46324,150184058,"htlp","139167"
46371,150184058,"last","1486348"
46375,150184058,"last","1581944"
46172,150184058,"agda","1653657"
46252,150184058,"elvl","234968"
46329,150184058,"htqk","248628"
46340,150184058,"htqk","382470"
46397,150184058,"ltrm","425696"
46088,150184058,"ean","526289"
46112,150184058,"htls","526289"
46538,150184058,"snap","526289"
46477,150184058,"ecbk","628329"
46150,150184058,"ostr","6513679"
46223,150184058,"amom","70651"
57497,150205525,"ecbk","110457"
57472,150205525,"sids","1850788"
57217,150205525,"elvl","193939"
57089,150205525,"agda","2164574"
57343,150205525,"last","2636636"
57151,150205525,"amom","312461"
57256,150205525,"htlp","335312"
57302,150205525,"htqk","350673"
57059,150205525,"ostr","7745830"
51104,150230376,"elvl","106911"
50987,150230376,"agda","1267879"
51145,150230376,"gtrm","254b03b9-3113-55b7-bb46-7984e8ddc99b"
51326,150230376,"last","2628001"
51407,150230376,"ltrm","284089"
50736,150230376,"ean","287258"
